Show,Streamer,Type,Audience,Stage,Mindset,Interest
A Clockwork Orange,Apple Movie,Movie,John,New,General,Low
Abbott Elementary,Max,TV Series,Everyone,Watching,Background,Highest
Acapulco,Apple,TV Series,Everyone,Upcoming Season,General,Medium
Agatha All Along,Disney,TV Series,Everyone,Watching,General,Highest
All creatures great and small,Masterpiece,TV Series,Everyone,Waiting,General,Medium
American Horror Stories,FX,TV Series,John,Upcoming Season,General,Medium
American Horror Story,FX,TV Series,John,Waiting,General,Medium
Andor,Disney,TV Series,Everyone,Paused,General,Low
Ashoka,Disney,TV Series,Everyone,Paused,General,Medium
Billions,Paramount,TV Series,Everyone,New,General,High
Bionic,Netflix,Movie,John,New,General,Medium
Black mirror,Netflix,TV Series,John,Waiting,General,Medium
Boba Fett,Disney,TV Series,Everyone,New,General,Low
Bridgerton,Netflix,TV Series,Everyone,Waiting,General,Medium
Caddo Lake,Max,Movie,John,New,General,High
Citadel Diana,Prime,TV Series,John,New,General,High
Clark,Netflix,TV Series,Everyone,New,General,Medium
Dead to Me,Netflix,TV Series,Everyone,Paused,General,Low
Deadloch,Prime,TV Series,Everyone,New,General,High
Death in paradise,BritBox,TV Series,Everyone,Upcoming Season,General,Medium
Electric Dreams,BritBox,TV Series,John,Waiting,General,Medium
Emily in Paris,Netflix,TV Series,Everyone,Upcoming Season,General,Highest
Equinox,Netflix,TV Series,Everyone,Waiting,General,Medium
Fall Guy,Peacock,Movie,Everyone,New,General,High
Father Brown,BritBox,TV Series,Everyone,Waiting,General,Medium
Foundation,Apple,TV Series,John,Waiting,General,Medium
Grantchester,Masterpiece,TV Series,Everyone,Waiting,General,Medium
Hacks,Max,TV Series,Everyone,Waiting,General,Medium
Halo,Paramount,TV Series,John,New,General,Medium
Harry Wild,Acorn,TV Series,Everyone,Upcoming Season,General,Low
Homeland,Paramount,TV Series,Everyone,New,General,High
Horizon,Max,Movie,John,New,General,Medium
Industry,Max,TV Series,Everyone,New,General,High
Loki,Disney,TV Series,Everyone,New,General,Medium
"Love, Death, and Robots",Netflix,TV Series,John,Waiting,General,Medium
Lupin 2,Netflix,TV Series,Everyone,Waiting,General,Medium
Mandalorian,Disney,TV Series,Everyone,Paused,General,Low
Masters of the air,Apple,TV Series,Everyone,New,General,Low
McDonald & Dobbs,BritBox,TV Series,Everyone,Upcoming Season,General,Highest
Midsomer murder,Acorn,TV Series,Everyone,New,General,Medium
Moon Knight,Disney,TV Series,Everyone,New,General,Medium
Murder in the building,Hulu,TV Series,Everyone,Watching,Background,Low
My Life is Murder,Acorn,TV Series,Everyone,Waiting,General,Medium
Nobody wants this,Netflix,TV Series,Everyone,Watching,General,High
Obi-wan Kenobi,Disney,TV Series,Everyone,Paused,General,Low
Pachinko,Apple,TV Series,Everyone,New,General,Medium
Professor T,Masterpiece,TV Series,Everyone,Waiting,General,Medium
Reacher,Prime,TV Series,Everyone,New,General,High
Severance,Apple,TV Series,Everyone,New,General,Medium
Shakespeare and Hathaway,BritBox,TV Series,Everyone,Waiting,General,Medium
Shetland,BritBox,TV Series,Everyone,Upcoming Season,General,Highest
Shogun,Hulu,TV Series,John,Paused,General,Medium
Shoplifters,Netflix,Movie,John,New,General,Medium
Shrinking,Apple,TV Series,Everyone,Waiting,General,Medium
Signora Volpe,Acorn,TV Series,Everyone,Waiting,General,Medium
Silent Witness,BritBox,TV Series,Everyone,Upcoming Season,General,Highest
Squid Game,Netflix,TV Series,Everyone,New,General,Medium
Stranger Things,Netflix,TV Series,Everyone,Waiting,General,Medium
Supacell,Netflix,TV Series,Everyone,New,General,High
Superstore,Peacock,TV Series,Everyone,Family Movie night,General,Medium
The 90' Show,Netflix,TV Series,Everyone,Watching,Background,Low
The Boy and the Heron,Max,Movie,John,New,General,High
The Brokenwood Mysteries,Acorn,TV Series,Everyone,Waiting,General,Medium
The Bureau,AMC,TV Series,Everyone,New,General,High
The Chelsea detectives,Acorn,TV Series,Everyone,Waiting,General,Medium
The Curse,Prime,TV Series,Everyone,New,General,Medium
The Diplomat,Netflix,TV Series,Everyone,Upcoming Season,General,High
The Fist of the Condor,Apple Movie,Movie,John,New,General,Medium
The flight attendant,Max,TV Series,Everyone,Upcoming Season,General,Medium
The Gilded Age,Max,TV Series,Everyone,Waiting,General,Medium
The Irishman,Netflix,Movie,John,New,General,Medium
The Mallorca Files,Prime,TV Series,Everyone,Waiting,Background,High
The Man in High Castle,Prime,TV Series,Everyone,Family Movie night,General,Medium
The Mosquito Coast,Apple,TV Series,Everyone,Upcoming Season,General,High
The New Look,Apple,TV Series,Everyone,New,General,Low
The Penguin,Max,TV Series,John,Watching,General,Highest
The Sandman,Netflix,TV Series,Everyone,New,General,Low
The Spy,Netflix,TV Series,Everyone,New,General,Medium
The Underground Railroad,Prime,TV Series,Everyone,New,General,Medium
The Witcher,Netflix,TV Series,Everyone,New,General,High
The Witcher Blood & Origin,Netflix,TV Series,Everyone,New,General,Medium
Undone,Prime,TV Series,Everyone,New,General,Low
Unstable,Netflix,TV Series,Everyone,Watching,Background,Medium
Uzumaki,Max,TV Series,John,Watching,General,Medium
Van der Valk,Masterpiece,TV Series,Everyone,Upcoming Season,General,Medium
Vera,BritBox,TV Series,Everyone,Waiting,General,Medium
Wednesday,Netflix,TV Series,Everyone,Waiting,General,Medium
Wheel of Time,Prime,TV Series,John,Waiting,General,Medium
Where's Wanda,Apple,TV Series,Everyone,New,General,High
Woman of the Hour,Netflix,Movie,Everyone,New,General,High
Yellowjackets,Paramount,TV Series,Everyone,Waiting,General,Highest
Young Wallender,Netflix,TV Series,Everyone,Waiting,General,Medium
Your Honor,Netflix,TV Series,Everyone,Watching,General,Medium
